H (A/m);B(T)
31.92788;0.205115735
32.40782;0.207097449
32.88777;0.209028037
33.36771;0.210909422
33.84765;0.212743545
34.3276;0.214532238
34.80754;0.216277117
35.28749;0.217979864
35.76743;0.219641927
36.24737;0.221264789
36.72732;0.222849857
37.20726;0.224398367
37.6872;0.225911598
38.16715;0.227390767
38.64709;0.228836938
39.12704;0.230251254
39.60698;0.231634683
40.08692;0.23298824
40.56687;0.234312898
41.04681;0.2356095
41.52676;0.236878966
42.0067;0.23812207
42.48664;0.239339635
42.96659;0.240532448
43.44653;0.24170119
43.92648;0.242846615
44.40642;0.24396935
44.88636;0.24507007
45.36631;0.246149424
45.84625;0.247207968
46.32619;0.248246306
46.80614;0.249265019
47.28608;0.250264601
47.76603;0.251245616
48.24597;0.252208522
48.72591;0.253153824
49.20586;0.254082009
49.6858;0.254993488
50.16575;0.255888737
50.64569;0.256768136
51.12563;0.257632112
51.60558;0.258481079
52.08552;0.259315377
52.56547;0.260135413
53.04541;0.260941506
53.52535;0.26173402
54.0053;0.262513306
54.48524;0.263279652
54.96518;0.264033388
55.44513;0.264774836
55.92507;0.265504255
56.40502;0.266221964
56.88496;0.266928208
57.3649;0.26762327
57.84485;0.268307425
58.32479;0.268980897
58.80474;0.269643959
59.28468;0.270296819
59.76462;0.270939725
60.24457;0.271572912
60.72451;0.272196572
61.20446;0.272810943
61.6844;0.273416204
62.16434;0.274012567
62.64429;0.27460024
63.12423;0.275179385
63.60417;0.275750199
64.08412;0.276312871
64.56406;0.276867552
65.04401;0.277414434
65.52395;0.277953656
66.00389;0.278485391
66.48384;0.279009805
66.96378;0.279527027
67.44373;0.280037227
67.92367;0.280540524
68.40361;0.281037071
68.88356;0.281527014
69.3635;0.282010463
69.84345;0.282487569
70.32339;0.282958436
70.80333;0.283423198
71.28328;0.283881983
71.76322;0.284334888
72.24316;0.284782036
72.72311;0.285223547
73.20305;0.285659511
73.683;0.28609005
74.16294;0.286515248
74.64288;0.286935215
75.12283;0.287350058
75.60277;0.287759854
76.08272;0.288164712
76.56266;0.288564707
77.0426;0.288959935
77.52255;0.289350491
78.00249;0.289736443
78.48244;0.290117889
78.96238;0.290494894
79.44232;0.290867544
79.92227;0.291235923
80.40221;0.291600092
80.88215;0.29196013
81.3621;0.292316117
81.84204;0.292668107
82.32199;0.293016185
82.80193;0.293360401
83.28187;0.293700828
83.76182;0.294037538
84.24176;0.294370578
84.72171;0.294700024
85.20165;0.29502592
85.68159;0.295348332
86.16154;0.295667326
86.64148;0.295982941
87.12143;0.296295246
87.60137;0.296604283
88.08131;0.296910108
88.56126;0.297212781
89.0412;0.297512338
89.52114;0.297808834
90.00109;0.298102325
90.48103;0.298392844
90.96098;0.29868045
91.44092;0.298965175
91.92086;0.29924707
92.40081;0.299526185
92.88075;0.299802548
93.3607;0.300076215
93.84064;0.300347213
94.32058;0.300615588
