H [A/m];M [A/m]
12.8375412151393;228754.843065898
12.9386056142217;232188.927553456
13.0334849248957;235623.012041014
13.1016390507719;239057.096528572
13.1697931766482;242491.18101613
13.2379473025244;245925.265503687
13.3401443504308;249359.349991245
13.6182848295422;252793.434478803
13.8133889509641;256227.518966361
13.9471585267264;259661.603453919
14.0679566800463;263095.687941476
14.223780330288;266529.772429034
14.4080308297476;269963.856916592
14.5765341925567;273397.94140415
14.709327839104;276832.025891708
14.7928640788495;280266.110379266
14.8764003185949;283700.194866823
14.9661760945914;287134.279354381
15.101183864694;290568.363841939
15.2352416467068;294002.448329497
15.358364027022;297436.532817055
15.4814864073371;300870.617304612
15.6232603520377;304304.70179217
15.7685452216177;307738.786279728
15.9952088984336;311172.870767286
16.2181452674494;314606.955254844
16.4169623079184;318041.039742402
16.5946120987826;321475.124229959
16.7552537832921;324909.208717517
16.9078069666837;328343.293205075
17.0356425875254;331777.377692633
17.1649963857339;335211.462180191
17.3145317370769;338645.546667748
17.430125;342079.631155306
