H_675C_2.5lbf_strip';'B_675C_2.5lbf_strip'
-1383.143036;-1.125428464
-1375.992791;-1.124427759
-1368.127065;-1.123476454
-1360.260771;-1.122470814
-1353.109387;-1.121386136
-1345.245369;-1.120405192
-1336.664163;-1.119463764
-1330.942601;-1.11845318
-1323.076876;-1.117348744
-1315.212288;-1.116175153
-1306.631083;-1.114986743
-1298.764788;-1.113803274
-1293.758137;-1.112570405
-1285.894119;-1.111283196
-1279.457646;-1.109986109
-1273.02288;-1.108689022
-1264.441675;-1.107377115
-1257.29086;-1.105986176
-1247.994744;-1.10455078
-1240.128449;-1.103204297
-1232.978773;-1.101778776
-1224.397568;-1.100205064
-1216.531842;-1.098700511
-1207.950637;-1.097191017
-1199.369431;-1.095474055
-1190.788226;-1.093697819
-1182.924208;-1.092045074
-1174.343003;-1.09032317
-1165.046887;-1.088364163
-1156.465681;-1.086459496
-1148.599387;-1.084688199
-1139.303271;-1.082763772
-1131.439253;-1.080740551
-1122.858047;-1.078756846
-1114.991753;-1.076723744
-1104.980726;-1.074586908
-1097.114431;-1.072415493
-1087.818315;-1.070229259
-1079.23711;-1.068028205
-1070.658181;-1.065713542
-1061.361496;-1.063295146
-1052.78086;-1.060896508
-1044.914565;-1.058418833
-1034.903538;-1.055778148
-1024.892512;-1.053018911
-1016.311306;-1.050284373
-1007.730101;-1.047495496
-998.4356925;-1.044469512
-987.7080474;-1.041497866
-979.8440296;-1.038560798
-970.5479135;-1.035332288
-961.9667081;-1.031935828
-951.9556814;-1.028588764
-942.6595653;-1.025167606
-933.3634492;-1.021425367
-924.0673331;-1.017618912
-914.0563064;-1.013851974
-904.7601903;-1.009833111
-895.4640742;-1.005641358
-885.4536166;-1.001434787
-876.1569314;-0.997035568
-866.147043;-0.992364664
-856.8503577;-0.987565328
-847.5559492;-0.982583222
-837.543784;-0.977368951
-830.3935385;-0.971947212
-821.0974224;-0.966372342
-813.2311278;-0.960604822
-801.7902796;-0.954521165
-793.9245541;-0.948175704
-784.6278689;-0.941533859
-776.0489403;-0.934610451
-765.3212952;-0.9273709
-756.7417974;-0.919676901
-746.0158599;-0.9117211
-736.0048331;-0.903444229
-726.7081479;-0.894628919
-718.1275117;-0.885477697
-708.1164849;-0.876025166
-698.8203689;-0.866063843
-689.5242528;-0.855746842
-679.513226;-0.845252005
-668.7872885;-0.834460793
-658.7762617;-0.823471999
-650.1950564;-0.81241406
-640.8989403;-0.801311659
-633.0349224;-0.790130226
-621.5917974;-0.778800615
-613.0128689;-0.767416664
-603.7161836;-0.756012944
-595.1355474;-0.744559829
-586.5543421;-0.733057318
-575.8284046;-0.721441181
-564.3875564;-0.709849748
-555.806351;-0.698292906
-544.3655028;-0.686597756
-535.7842974;-0.674872959
-525.7732706;-0.663182715
-515.7622439;-0.651398623
-507.1810385;-0.639540452
-497.8849224;-0.627697095
-487.8738956;-0.615814212
-478.5777796;-0.603891811
-467.1369314;-0.591885434
-457.8408153;-0.579795078
-447.8297885;-0.567759063
-438.5336724;-0.555708224
-429.2392639;-0.543583296
-418.5116189;-0.531453443
-409.9326903;-0.519328535
-399.9205251;-0.507208552
-389.1951568;-0.494984832
-379.1829916;-0.482706772
-368.4576233;-0.470463285
-357.732255;-0.458121025
-347.0046099;-0.445615765
-338.4234046;-0.433169769
-326.9825564;-0.420768225
-318.4036278;-0.408188865
-306.2455921;-0.395569999
-295.5196546;-0.382970881
-286.2235385;-0.370322358
-276.2130809;-0.357575053
-266.9163956;-0.344768463
-255.4755474;-0.33200138
-245.465659;-0.319140459
-235.4534939;-0.30614123
-225.4436055;-0.29322597
-215.4314403;-0.280335412
-204.706072;-0.267168237
-194.694476;-0.25404057
-184.6840184;-0.241016628
-175.3896099;-0.227819797
-163.2315742;-0.214697064
-154.6503689;-0.201648429
-143.9244314;-0.18859486
-134.6300229;-0.175511654
-123.9023778;-0.162428438
-113.1770095;-0.149444013
-103.8803242;-0.136345983
-93.87043582;-0.123238083
-83.85827064;-0.110303074
-73.13290234;-0.097422405
-63.83849385;-0.084398474
-52.39536885;-0.071330081
-43.81644028;-0.058370359
-32.37331528;-0.045301966
-20.93246707;-0.032169364
-11.636351;-0.01912073
-0.910413496;-0.006062226
7.670791861;0.007080246
17.68068025;0.020286937
27.69056865;0.033419539
39.13369365;0.046542262
49.14358204;0.059689678
54.86434766;0.07283216
