H_675C_0.8lbf_strip';'B_675C_0.8lbf_strip'
-158.6835894;-0.499720769
-155.108182;-0.486744297
-150.1028394;-0.473704368
-145.0972691;-0.46060586
-140.8067802;-0.447473165
-137.2313729;-0.434277005
-133.6559655;-0.421056442
-129.3657043;-0.407772412
-125.790297;-0.394424916
-120.7849543;-0.381038358
-117.209547;-0.367588324
-112.2039767;-0.354118763
-108.6285693;-0.34058087
-103.622999;-0.327023449
-99.33273782;-0.313441616
-94.32716751;-0.299815853
-87.89166193;-0.286136397
-85.74641751;-0.272403238
-81.45592867;-0.258631017
-75.02019541;-0.244824619
-70.72982041;-0.231023108
-65.72436394;-0.21715814
-60.71902131;-0.203244356
-54.9985972;-0.189340335
-50.70799452;-0.175416788
-45.70248113;-0.161454198
-40.69582934;-0.147491617
-36.40636506;-0.13352414
-32.11690077;-0.119498074
-27.8251597;-0.105452481
-23.53569541;-0.091411765
-18.52904363;-0.077346646
-14.23957934;-0.063237596
-9.948407467;-0.049089494
-6.373284699;-0.034965805
-0.653998984;-0.020812836
3.637742087;-0.006611051
7.212295658;0.007576095
10.78912602;0.021787653
15.79350102;0.036048038
19.36805459;0.050308422
25.08961709;0.064573683
27.94925994;0.078882874
32.24100102;0.093221355
36.5304653;0.107579362
42.2520278;0.121942246
46.54149209;0.136314903
50.83323316;0.15071686
55.83760816;0.16512857
60.12764164;0.17955493
65.13372423;0.194000816
70.13980682;0.208451569
73.71492959;0.222941386
80.14969521;0.237494668
83.01104566;0.25209188
88.01542066;0.266689092
93.02150325;0.281310717
96.59662602;0.295976281
101.6027086;0.310666249
105.1778314;0.325400146
110.8971171;0.340148694
114.4739474;0.354936294
118.7634117;0.369748288
122.3402421;0.384565168
127.3446171;0.399386935
130.9191707;0.414198939
136.6407332;0.429006065
140.9313358;0.443793656
145.2219385;0.458537307
148.7964921;0.473193089
153.087664;0.487790291
158.0926082;0.5023631
162.3820724;0.516891969
165.9589028;0.531362249
170.9632778;0.545778845
175.9699296;0.560171038
180.975443;0.574538819
185.2660457;0.588823606
189.5555099;0.603020525
193.847251;0.617124687
199.5665367;0.631116577
203.1416595;0.645020598
208.1477421;0.658846503
213.1538247;0.672604065
218.1587689;0.686298171
222.4482332;0.699919057
226.7399742;0.713461837
231.7449184;0.726946038
236.751001;0.740386299
241.0404653;0.753753321
245.3322064;0.767037351
251.0514921;0.780257914
255.3432332;0.793385722
259.6326974;0.806401248
264.63878;0.819294718
268.9288135;0.831978283
273.9331885;0.844422662
278.9398403;0.856627847
283.2298738;0.868530352
288.2359564;0.880135052
293.2403314;0.891417566
296.8171617;0.902343725
301.8215367;0.91294281
307.5430992;0.923239215
311.1176528;0.93320364
316.8392153;0.942811702
322.558501;0.952102462
326.8502421;0.961051498
333.2844385;0.969678328
338.2910903;0.978002487
341.1507332;0.985965403
347.5866372;0.993611007
351.8766707;1.000983237
358.3131439;1.008052799
363.3180881;1.014805048
369.0390814;1.021264391
374.0434564;1.027450355
379.7650189;1.033367821
385.4865814;1.039036321
391.2058671;1.044465617
396.9274296;1.04964106
401.2168939;1.054552888
408.3682778;1.05927921
413.3726528;1.063810263
416.9494832;1.068121636
422.6687689;1.072257266
429.1052421;1.076212275
434.1096171;1.079962251
437.6864474;1.083536481
443.4057332;1.08696914
448.4123849;1.090216294
454.1316707;1.093258412
458.4234117;1.096154078
464.1426974;1.098913054
469.1493492;1.101486525
474.1537242;1.103937953
479.8752867;1.106281982
484.8796617;1.108508848
490.6012242;1.110599025
495.6055992;1.112581802
499.8973403;1.114471828
505.616626;1.116220284
509.9083671;1.117880866
514.9127421;1.119477987
519.9193939;1.120977474
524.9237689;1.122379326
530.6453314;1.123727475
534.9347957;1.125002401
539.9414474;1.126184575
544.2309117;1.127303285
550.6668157;1.12835853
554.9568492;1.12934055
559.963501;1.130268871
565.6827867;1.131133731
570.6894385;1.131910718
575.6938135;1.132648651
579.9855546;1.133362175
585.7048403;1.134007355
590.7109229;1.134593954
595.0009564;1.135156144
600.0076082;1.135698807
603.5821617;1.136192653
608.5865367;1.13663768
612.1633671;1.137038772
617.1677421;1.137395928
621.4594832;1.13774332
625.7489474;1.138071185
630.75503;1.138350233
634.3301528;1.138590227
640.0517153;1.138820458
643.6262689;1.139031162
647.9157332;1.13922722
652.2074742;1.139437923
655.0671171;1.139633981
659.3565814;1.139800749
664.3632332;1.139962635
668.6526974;1.140139166
672.2295278;1.140305934
677.2339028;1.140453175
681.5245055;1.140605297
685.8151082;1.140752538
690.1057108;1.140865606
692.2515814;1.140978675
696.5410457;1.141116152
700.8310791;1.141224338
704.4073403;1.141308116
707.9818939;1.141416303
711.5587242;1.141534253
715.1332778;1.141608268
720.1376528;1.141667637
722.9995724;1.141756297
725.8592153;1.141815667
731.578501;1.141840865
734.4404207;1.141875826
737.3000635;1.141935195
740.1597064;1.141999447
743.021626;1.142044171
746.5961796;1.142113304
750.1718716;1.142201964
753.7475635;1.142271097
757.3221171;1.142320703
760.1817599;1.142394718
763.7585903;1.142468732
765.9033224;1.142498811
770.1927867;1.142538653
772.3380881;1.142612668
774.4845278;1.142686683
778.0590814;1.142716762
781.6347733;1.142751723
783.7806439;1.142820856
786.6402867;1.142860699
788.7850189;1.142885896
791.6446617;1.142940383
793.7911015;1.142980225
797.3662242;1.143005421
799.5109564;1.143079435
801.6568269;1.14318274
803.8026974;1.143237227
805.9474296;1.143272188
806.6623403;1.14333644
809.5219832;1.143381164
812.3821952;1.143406361
814.5286349;1.14343644
817.3882778;1.143451874
817.3882778;1.143477071
820.9634006;1.143502267
822.3943604;1.143517701
825.2545724;1.143567307
825.9694832;1.143612031
828.1142153;1.143651873
828.829126;1.143681952
830.2589474;1.14370715
831.6887689;1.143737229
834.5506885;1.143747781
835.2655992;1.143792504
837.4103314;1.143846992
838.1252421;1.143867307
840.2699742;1.143877859
840.2699742;1.143903056
842.4147064;1.143938017
844.5605769;1.143953451
845.2760568;1.143968885
845.9915367;1.143998964
847.4213582;1.144004634
849.5660903;1.144015185
850.281001;1.144059909
851.7108224;1.14409487
853.8572622;1.144120068
853.8572622;1.144174555
854.5727421;1.144243688
856.7174742;1.144278648
857.4323849;1.144303845
857.4323849;1.144348569
858.8622064;1.144378647
860.2920278;1.14436479
861.7218492;1.144360697
861.0069385;1.144371249
863.1516707;1.144357391
863.1516707;1.144363062
863.1516707;1.144388259
864.5826305;1.144384166
865.2981104;1.144380073
