'H_675C_3.5lbf_strip';'B_675C_3.5lbf_strip'
759.8871251;0.711731522
745.5854956;0.697838445
728.4230849;0.684010039
715.5524153;0.670236355
698.3900045;0.656303483
684.0895135;0.642251227
671.2188438;0.628258663
658.347605;0.614241223
642.6155849;0.600064614
625.4531742;0.585907903
608.2930403;0.571860617
593.9902724;0.557679029
579.6897813;0.543333294
563.9577612;0.529017414
546.7953505;0.514701525
529.6346474;0.500286149
511.0424153;0.485811091
499.601567;0.471380787
488.1607188;0.456890792
476.7198706;0.442206803
463.8476072;0.427507886
445.2558304;0.412813938
425.2337769;0.397901131
408.0720492;0.382873919
386.6200603;0.367951163
368.0281697;0.353033376
349.4362791;0.338016093
332.2747791;0.323048563
316.5429867;0.308160631
305.1019108;0.293198081
292.2305012;0.278131074
276.4991072;0.263059088
257.9072735;0.247967205
242.1756291;0.232800713
225.0138559;0.217644158
213.5728483;0.202552275
202.1317724;0.18740568
184.9700447;0.172249136
167.8080894;0.157286595
147.7863773;0.142358869
133.4848617;0.127276935
116.323134;0.112234795
99.161634;0.097262295
80.56974338;0.082135597
63.4080157;0.066884536
46.24617418;0.051747869
30.51472329;0.036621161
16.2133215;0.021340234
0.481756771;0.006079204
-15.25026332;-0.009037545
-32.41039725;-0.024159284
-45.28334368;-0.039489964
-58.15401332;-0.054885325
-72.45450439;-0.070061796
-89.6169151;-0.085228309
-106.7793258;-0.100529143
-123.9394597;-0.115690686
-138.2422276;-0.130802466
-152.5427187;-0.146123188
-169.7051294;-0.161588179
-185.4371495;-0.1769885
-204.027674;-0.192309241
-219.7602633;-0.207684705
-232.630933;-0.223045241
-244.0717812;-0.238356033
-259.8043705;-0.253870778
-276.966212;-0.269380543
-294.1269151;-0.28466148
-312.7191472;-0.300056831
-325.5903861;-0.315576545
-339.8920156;-0.330862431
-352.7632544;-0.34598415
-368.4952745;-0.361160602
-387.085799;-0.376317156
-401.3885669;-0.391418987
-415.689058;-0.406505891
-431.4210781;-0.421592785
-444.2923169;-0.436624956
-461.4547276;-0.451682004
-481.4756428;-0.466813672
-497.2076629;-0.481845863
-512.939683;-0.49676365
-527.240174;-0.511770965
-542.9727633;-0.526728536
-561.5638571;-0.541556776
-577.2958772;-0.556385025
-593.0278972;-0.571088921
-607.3283883;-0.5856983
-618.7703749;-0.600352453
-634.5018258;-0.614951884
-650.2321383;-0.629491612
