H_675C_10s;B_675C_10s
-337.716;-1.22753
-336.43;-1.2275
-335.142;-1.22745
-333.713;-1.22744
-332.425;-1.22743
-330.994;-1.2274
-329.565;-1.22736
-327.992;-1.22733
-326.847;-1.22731
-325.132;-1.22727
-323.701;-1.22722
-322.27;-1.22717
-320.699;-1.22714
-319.268;-1.2271
-317.551;-1.22707
-315.979;-1.22704
-314.834;-1.227
-313.26;-1.22698
-311.403;-1.22697
-309.972;-1.22694
-308.113;-1.22693
-306.396;-1.22693
-304.823;-1.22691
-302.965;-1.22687
-301.248;-1.22684
-299.531;-1.22682
-297.672;-1.22679
-295.957;-1.22676
-294.526;-1.22671
-292.524;-1.22669
-290.664;-1.22665
-288.949;-1.2266
-287.376;-1.22656
-285.087;-1.22651
-282.943;-1.22644
-281.083;-1.22638
-279.366;-1.22633
-277.078;-1.22628
-275.076;-1.22625
-272.931;-1.2262
-271.072;-1.22613
-269.214;-1.22606
-267.068;-1.226
-265.209;-1.22595
-263.206;-1.22588
-261.204;-1.22581
-259.487;-1.22574
-257.342;-1.22566
-255.197;-1.22559
-253.194;-1.22555
-250.906;-1.22548
-248.618;-1.22538
-246.76;-1.22532
-244.472;-1.22527
-242.327;-1.22521
-240.18;-1.22513
-237.749;-1.22503
-235.604;-1.22493
-233.316;-1.22483
-231.314;-1.22474
-229.026;-1.22466
-226.881;-1.22456
-224.736;-1.22446
-222.448;-1.22437
-220.017;-1.22428
-217.87;-1.2242
-215.582;-1.22411
-213.007;-1.22401
-210.862;-1.22388
-208.288;-1.22375
-206;-1.22363
-203.712;-1.2235
-201.424;-1.22339
-198.993;-1.22328
-196.704;-1.22316
-194.273;-1.22301
-191.699;-1.22287
-189.268;-1.22273
-186.837;-1.22259
-184.406;-1.22242
-181.831;-1.22225
-179.399;-1.22208
-176.968;-1.22189
-174.537;-1.2217
-172.249;-1.22152
-169.818;-1.22132
-167.387;-1.22111
-165.241;-1.22089
-162.525;-1.22064
-160.237;-1.22039
-157.376;-1.22011
-155.088;-1.21984
-152.37;-1.21957
-149.796;-1.21927
-147.508;-1.21896
-144.648;-1.21862
-142.216;-1.21823
-139.498;-1.21782
-136.924;-1.21743
-134.493;-1.21701
-132.062;-1.21654
-129.488;-1.21606
-127.057;-1.21557
-124.483;-1.21505
-121.765;-1.2145
-119.334;-1.2139
-116.902;-1.21327
-114.328;-1.2126
-111.754;-1.21188
-109.18;-1.21109
-106.749;-1.21025
-104.461;-1.20936
-102.173;-1.20842
-99.5978;-1.20745
-97.1662;-1.20643
-95.0214;-1.20532
-92.7333;-1.20413
-90.1582;-1.20286
-88.0135;-1.20153
-85.439;-1.20011
-83.1508;-1.1986
-80.7198;-1.19699
-78.2888;-1.19528
-76.1435;-1.19345
-73.8553;-1.19148
-71.4242;-1.18936
-69.4218;-1.18709
-67.2765;-1.18466
-64.9883;-1.18207
-63.1288;-1.1793
-60.9835;-1.17631
